air,omega,pr_wtr,pres,rhum,uwnd,vwnd,WVHT,WVHT_6h,WVHT_ord_6h
282.845423,-0.055445,11.437445,97952.507878,64.4526,1.394217,-2.077223,3.26,2.8,C
281.267799,0.021683,10.886657,98082.327914,86.522236,3.033396,-1.622231,2.8,2.77,C
282.470151,-0.133884,10.467751,98027.187951,77.402703,4.714918,-2.116072,2.77,3.28,D
282.295015,-0.043629,7.89777,98092.762799,75.621342,4.073273,-2.946628,3.28,3.42,D
282.286223,-0.153206,6.863414,97992.993803,69.995386,5.654587,-2.646256,3.42,2.38,C
280.819718,-0.1318,8.825985,98201.143637,77.48317,1.661127,-1.080429,2.38,2.53,C
280.813904,-0.14742,11.036547,98232.212928,74.366689,0.838503,0.289275,2.53,3.23,D
280.844366,-0.150187,13.942084,98355.591305,83.10517,-0.214364,1.792231,3.23,3.32,D
281.988956,-0.182843,11.219456,98355.40944,79.354757,1.201289,2.947878,3.32,3.09,D
280.961266,-0.024258,15.441889,98530.05951,89.619131,-1.476665,2.716995,3.09,2.66,C
282.158435,-0.077659,17.679137,98519.986099,85.646251,-2.675219,2.910539,2.66,2.39,C
283.019664,-0.108756,21.653241,98390.801516,84.803696,-4.009456,5.090389,2.39,2.85,C
283.652023,-0.081248,22.879837,98062.206269,90.705544,-3.626782,8.928316,2.85,2.51,C
284.760627,-0.311742,27.408181,98113.815902,91.001602,-2.835684,9.377228,2.51,2.78,C
285.692746,-0.181736,27.188571,98129.69709,89.262629,1.078873,5.687685,2.78,2.52,C
284.298146,-0.17341,25.719607,98287.480936,98.027715,0.874749,1.907265,2.52,1.78,B
284.87961,-0.095021,25.07634,98122.427672,93.135911,1.42268,1.554175,1.78,1.61,B
283.942888,-0.287668,22.777891,98170.348165,92.327444,1.954,-0.032221,1.61,1.32,A
283.172527,-0.266406,19.086915,98154.241632,87.581788,3.526733,-2.160568,1.32,1.64,B
282.726109,-0.162441,15.419428,98352.360013,80.776682,3.246063,-3.568766,1.64,1.61,B
